category,name,address,latitude,longtitude
hospital,郵政醫院,臺北市中正區福州街14號,,
hospital,國立台灣大學醫學院附設醫院,臺北市中正區中山南路7號,,
hospital,國立台灣大學醫學院附設醫院_1,臺北市中正區常德街1號,,
hospital,國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,,
hospital,臺北市立聯合醫院,臺北市大同區鄭州路145號,,
hospital,泰安醫院,臺北市中山區民權東路二段92巷2之1號,,
hospital,協和婦女醫院,臺北市中山區松江路85巷5號,,
hospital,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,,
hospital,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,,
hospital,長庚醫療財團法人台北長庚紀念醫院_1,臺北市松山區敦化北路199巷6號,,
hospital,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,,
hospital,博仁綜合醫院,臺北市松山區光復北路66號,,
hospital,培靈醫院,臺北市松山區八德路四段355號,,
hospital,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,,
hospital,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,,
hospital,國立臺灣大學醫學院附設癌醫中心醫院,臺北市大安區基隆路3段155巷57號,,
hospital,秀傳醫院,臺北市大安區光復南路116巷1號,,
hospital,宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,,
hospital,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,,
hospital,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,,
hospital,國泰醫療財團法人國泰綜合醫院_1,臺北市大安區仁愛路四段266巷6號,,
hospital,同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,,
hospital,財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街200號,,
hospital,西園醫療社團法人西園醫院,臺北市萬華區西園路二段270號,,
hospital,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號,,
hospital,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,,
hospital,臺北醫學大學附設醫院,臺北市信義區吳興街252號,,
hospital,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號,,
hospital,三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號,,
hospital,臺北市北投健康管理醫院,臺北市北投區中和街2號,,
hospital,醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,,
hospital,振興醫療財團法人振興醫院,臺北市北投區振興街45號,,
hospital,臺北市立關渡醫院,臺北市北投區知行路225巷12號,,
hospital,臺北榮民總醫院,臺北市北投區石牌路二段201號,,
hospital,中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號,,
hospital,康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,,
hospital,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號,,
hospital,三軍總醫院附設民眾診療服務處_1,臺北市中正區汀州路3段40號,,
hospital,臺北市立萬芳醫院,臺北市文山區興隆路三段111號,,
hospital,景美醫院,臺北市文山區羅斯福路六段280號,,
college,國立政治大學,臺北市文山區指南路2段64號,,
college,國立臺灣大學,臺北市大安區羅斯福路4段1號,,
college,國立臺灣師範大學,臺北市大安區和平東路1段162號,,
college,國立陽明大學,臺北市北投區立農街2段155號,,
college,國立臺北藝術大學,臺北市北投區學園路1號,,
college,國立臺北教育大學,臺北市和平東路2段134號,,
college,臺北市立大學,臺北市中正區愛國西路1號,,
college,國立臺灣科技大學,臺北市大安區基隆路四段43號,,
college,國立臺北科技大學,臺北市忠孝東路三段1號,,
college,國立臺北護理健康大學,臺北市北投區明德路365號,,
college,國立臺北商業大學,臺北市中正區濟南路一段321號,,
college,國立臺灣戲曲學院,臺北市內湖區內湖路二段177號,,
college,東吳大學,臺北市士林區臨溪路70號,,
college,中國文化大學,臺北市士林區華岡路55號,,
college,世新大學,臺北市文山區木柵路1段17巷1號,,
college,銘傳大學,臺北市士林區中山北路5段250號,,
college,實踐大學,臺北市中山區大直街70號,,
college,大同大學,臺北市中山北路3段40號,,
college,臺北醫學大學,臺北市信義區吳興街250號,,
college,康寧學校財團法人康寧大學,台北市內湖區康寧路三段75巷137號,,
college,中國科技大學,臺北市文山區興隆路三段56號,,
college,德明財經科技大學,臺北市內湖區環山路一段56號,,
college,中華學校財團法人中華科技大學,臺北市南港區研究院路三段245號,,
college,城市學校財團法人臺北城市科技大學,臺北市北投區學園路2號,,
college,學校財團法人中華浸信會基督教台灣浸會神學院,臺北市吳興街394巷1號,,
college,台神學校財團法人台灣神學研究學院,台北市士林區仰德大道二段二巷20號,,
train,台北車站,臺北市中正區黎明里北平西路3號,,
train,松山車站,臺北市信義區永吉里松山路11號,,
train,萬華車站,臺北市萬華區富福里康定路382號,,
train,南港車站,臺北市南港區南港里南港路一段313號,,
