,avg,avg_no,avg_no_p,avg_p
PrecpHour,15059.967005513423,13653.341463900239,36.312078361436804,40.05310373806761
H_24R,15751.73140460671,13644.462474923026,36.2884640290506,41.892902671826356
td,14050.080850339562,13601.07222872176,36.17306443808979,37.36723630409458
HUMD,14684.639639411254,13079.060244067292,34.784734691668326,39.054892658008654
comfort,13955.642906394904,13694.751009217065,36.42221013089645,37.116071559560915
UVI,13573.258247118116,14050.694683904241,37.368868840170855,36.09909108276095
PRES,13959.817603457293,13784.233915369226,36.66019658342879,37.127174477280036
WDSE,3802.75,3904.9850693988287,10.385598588826673,10.113696808510639
TEMP,13864.24700936833,13808.712458452394,36.725299091628706,36.872997365341305
