,parameters,aic
0,"(3, 0, 1, 1, 0, 1)",22078.159933680512
1,"(4, 0, 1, 1, 0, 1)",22079.58645293891
2,"(4, 0, 0, 1, 0, 1)",22081.13992127569
3,"(3, 0, 0, 1, 0, 1)",22081.29983299554
4,"(4, 0, 2, 1, 0, 1)",22081.5875525314
5,"(3, 0, 2, 1, 0, 1)",22091.82192336523
6,"(2, 0, 1, 1, 0, 1)",22097.885426113837
7,"(2, 0, 2, 1, 0, 1)",22098.987345448564
8,"(2, 0, 0, 1, 0, 1)",22121.14766566297
9,"(2, 0, 2, 1, 0, 0)",22664.512232872414
10,"(3, 0, 1, 1, 0, 0)",22669.178281933575
11,"(4, 0, 1, 1, 0, 0)",22685.750923294105
12,"(2, 0, 2, 0, 0, 1)",22713.421506597726
13,"(4, 0, 2, 0, 0, 1)",22715.590036667465
14,"(3, 0, 1, 0, 0, 1)",22720.077806883248
15,"(4, 0, 1, 0, 0, 1)",22725.472892294438
16,"(3, 0, 2, 1, 0, 0)",22741.524069633528
17,"(3, 0, 2, 0, 0, 1)",22796.28571836555
18,"(3, 0, 2, 0, 0, 0)",22871.38936306253
19,"(2, 0, 2, 0, 0, 0)",22894.705832710937
20,"(4, 0, 1, 0, 0, 0)",22910.873202637205
21,"(4, 0, 0, 1, 0, 0)",22965.602654362625
22,"(3, 0, 0, 1, 0, 0)",22970.01161758957
23,"(2, 0, 1, 1, 0, 0)",23002.152378173912
24,"(2, 0, 0, 1, 0, 0)",23023.927648305344
25,"(4, 0, 0, 0, 0, 1)",23032.63471496239
26,"(3, 0, 0, 0, 0, 1)",23035.4112744201
27,"(2, 0, 1, 0, 0, 1)",23060.435211871547
28,"(2, 0, 0, 0, 0, 1)",23080.926887426103
29,"(3, 0, 1, 0, 0, 0)",23232.06185893389
30,"(3, 0, 0, 0, 0, 0)",23232.58665844399
31,"(4, 0, 0, 0, 0, 0)",23232.79523083694
32,"(4, 0, 2, 0, 0, 0)",23235.82491526921
33,"(2, 0, 1, 0, 0, 0)",23247.050534223934
34,"(2, 0, 0, 0, 0, 0)",23267.008675135134
